auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.32888880450925495,0.6895781651044925,0.40289330922242317,0.5724563206577595,w4,F4,lr,5,22164,5374
0.4345470301632377,0.731322908662056,0.4550221863654699,0.55078125,w4,F4,lgbm,1,22122,5416
0.39821714698470095,0.6926272535769514,0.4231427593289969,0.5648994515539305,w4,F4,lgbm,2,22136,5402
0.4007641728590504,0.7092842331430971,0.4490022172949002,0.6727574750830565,w4,F4,lgbm,3,21904,5634
0.20899218253705992,0.6037835229341966,0.27408829174664107,0.43857493857493857,w4,F4,lgbm,4,21826,5712
0.3731907244140895,0.710968473249446,0.4135145060594932,0.578622816032888,w4,F4,lgbm,5,22164,5374
0.3619966219333872,0.7402152363964803,0.4268867924528302,0.6184510250569476,w6,F0,lr,1,21735,5289
0.37839490860812575,0.7117662350025079,0.4126149802890933,0.7228360957642725,w6,F0,lr,2,21411,5613
0.35002197879150704,0.6883437015565336,0.39177826222360634,0.6614090431125131,w6,F0,lr,3,21746,5278
0.2206070449225045,0.6479824009157246,0.2909090909090909,0.463448275862069,w6,F0,lr,4,21479,5545
0.3749710433812038,0.7177340352704097,0.419811320754717,0.6523560209424084,w6,F0,lr,5,21725,5299
0.3745894764278051,0.7352642415497805,0.4267616785431512,0.6138952164009112,w6,F0,lgbm,1,21735,5289
0.3715267624405518,0.6984003488786943,0.4197068911755535,0.6197053406998159,w6,F0,lgbm,2,21411,5613
0.37406509176555813,0.7004317399586923,0.40536277602523657,0.5404837013669821,w6,F0,lgbm,3,21746,5278
0.20724246852593198,0.6320090141651167,0.2832044975404076,0.5558620689655173,w6,F0,lgbm,4,21479,5545
0.3489141687892335,0.6860786497353273,0.37413925019127775,0.512041884816754,w6,F0,lgbm,5,21725,5299
0.3489159138309689,0.7394746980137149,0.42900997697620874,0.6366742596810934,w6,F1,lr,1,21735,5289
0.3564063061980124,0.7007885162932779,0.40076978590329565,0.7670349907918969,w6,F1,lr,2,21411,5613
0.33797936238916615,0.6853082046388108,0.3978530694397853,0.6235541535226078,w6,F1,lr,3,21746,5278
0.2169481696216547,0.6495720417799399,0.26641414141414144,0.2910344827586207,w6,F1,lr,4,21479,5545
0.29539531409777486,0.6792714028135336,0.39377580184185457,0.6492146596858639,w6,F1,lr,5,21725,5299
0.38442207588930977,0.7329616784297281,0.43020055053086903,0.623006833712984,w6,F1,lgbm,1,21735,5289
0.37252259928780596,0.7003608591951462,0.4216829498896943,0.6160220994475138,w6,F1,lgbm,2,21411,5613
0.36541247750756745,0.6970518911770346,0.4074810982888977,0.5383806519453207,w6,F1,lgbm,3,21746,5278
0.20974840371621453,0.6218221490914294,0.27001298139333624,0.4303448275862069,w6,F1,lgbm,4,21479,5545
0.27372469201308913,0.6583712986800112,0.3692088382038489,0.5424083769633508,w6,F1,lgbm,5,21725,5299
0.36364435136151435,0.7427252690390405,0.4294720252167061,0.6207289293849658,w6,F2,lr,1,21735,5289
0.37761209057914585,0.7106523942085161,0.41335787536155666,0.7237569060773481,w6,F2,lr,2,21411,5613
0.3490026855971173,0.6894326505348632,0.39254658385093166,0.6645636172450052,w6,F2,lr,3,21746,5278
0.22086742156910172,0.6487785090857062,0.2896911700739452,0.4593103448275862,w6,F2,lr,4,21479,5545
0.37582287450788565,0.7187095638926653,0.42080217539089054,0.6481675392670158,w6,F2,lr,5,21725,5299
0.37957016311853053,0.7357424413701716,0.4254986312084474,0.6195899772209568,w6,F2,lgbm,1,21735,5289
0.3715014273389449,0.7002393252516821,0.42516268980477223,0.6316758747697975,w6,F2,lgbm,2,21411,5613
0.3618129578631334,0.699804518955999,0.41025641025641024,0.5467928496319664,w6,F2,lgbm,3,21746,5278
0.20557441729362752,0.6311419373300902,0.27055702917771884,0.5627586206896552,w6,F2,lgbm,4,21479,5545
0.351813349584926,0.6909194122241186,0.3888446215139442,0.5109947643979058,w6,F2,lgbm,5,21725,5299
0.3632303318979748,0.7435277771609494,0.42845849802371544,0.6173120728929385,w6,F3,lr,1,21735,5289
0.3734152745188624,0.7092993502052957,0.409387222946545,0.7228360957642725,w6,F3,lr,2,21411,5613
0.3322132160891329,0.6838576497511408,0.39111111111111113,0.647739221871714,w6,F3,lr,3,21746,5278
0.22015575534998905,0.6478264415510087,0.28885832187070154,0.43448275862068964,w6,F3,lr,4,21479,5545
0.375684632840462,0.718216858060224,0.4130575307045895,0.669109947643979,w6,F3,lr,5,21725,5299
0.37364467700816006,0.7379931048336914,0.42749901224812326,0.6161731207289294,w6,F3,lgbm,1,21735,5289
0.36816611126437104,0.7017260057416905,0.42451967063129004,0.6408839779005525,w6,F3,lgbm,2,21411,5613
0.3670130824613351,0.7017413463064313,0.40473372781065087,0.5394321766561514,w6,F3,lgbm,3,21746,5278
0.21192836694328188,0.6354305336958076,0.27870399496697074,0.6110344827586207,w6,F3,lgbm,4,21479,5545
0.350163126002797,0.695382931744333,0.39930100480559194,0.47853403141361256,w6,F3,lgbm,5,21725,5299
0.363383576063204,0.7432974562971324,0.4297586070439256,0.6184510250569476,w6,F4,lr,1,21735,5289
0.37339722846567114,0.7092436174847784,0.41009627894873796,0.7255985267034991,w6,F4,lr,2,21411,5613
0.33064374350118625,0.6831013879299933,0.3911392405063291,0.6498422712933754,w6,F4,lr,3,21746,5278
0.21995002379283995,0.6472398054084991,0.2907930720145852,0.44,w6,F4,lr,4,21479,5545
0.3757628386326584,0.7179955743253016,0.41332470892626133,0.669109947643979,w6,F4,lr,5,21725,5299
0.3777038719692518,0.7390119906281098,0.42473745624270715,0.621867881548975,w6,F4,lgbm,1,21735,5289
0.36483732969274224,0.6977209792198314,0.4158178550029958,0.6390423572744015,w6,F4,lgbm,2,21411,5613
0.3685646314028216,0.6993695226000047,0.4060441689267726,0.5509989484752892,w6,F4,lgbm,3,21746,5278
0.21814763648030033,0.6357108313063385,0.2750083640013382,0.5668965517241379,w6,F4,lgbm,4,21479,5545
0.34691966341307234,0.6884993925544531,0.37880585211546064,0.5015706806282723,w6,F4,lgbm,5,21725,5299
