split_scheme,model,feature_group,train_n,test_n,train_dropout_rate,test_dropout_rate,n_features_raw,n_numeric_features,n_categorical_features,AUPRC,AUPRC_CI95_low,AUPRC_CI95_high,AUROC,Precision@0.5,Recall@0.5,F1@0.5,BalancedAcc@0.5,variant
latest_presentation_holdout,xgboost,F3,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8272226117844417,0.8163821010319651,0.8358556150624876,0.8419377505846537,0.7863864491844417,0.6552535284892839,0.714856002281152,0.7818236972551342,baseline_orig_json
latest_presentation_holdout,lightgbm,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8269202472778192,0.8157678606080592,0.8362718139124918,0.8406128135643849,0.8110749185667753,0.650810245687402,0.7221577726218097,0.7863951685795094,baseline_orig_json
latest_presentation_holdout,lightgbm,F4_all,21333,11260,0.296723386302911,0.3397868561278863,42,36,6,0.8260852090683858,0.8155813036538295,0.834905601678344,0.8395175857354793,0.7870544090056285,0.6578672242550967,0.7166856492027335,0.7831305451380407,baseline_orig_json
latest_presentation_holdout,lightgbm,F3,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.824378894045829,0.8132699772825095,0.8331931780335938,0.8373710608398338,0.7811038353601497,0.6547307893361213,0.7123560358310821,0.7801498983000219,baseline_orig_json
latest_presentation_holdout,xgboost,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.824294500609491,0.8131476500187759,0.8334071053949571,0.840442768641445,0.7566517189835575,0.6615263983272347,0.7058987588899736,0.7760147461100795,baseline_orig_json
latest_presentation_holdout,lightgbm,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8227857443979695,0.8114586579881928,0.8316420393770806,0.8371041010342135,0.7828823159219634,0.6502875065342394,0.710451170759566,0.7787353594010987,baseline_orig_json
latest_presentation_holdout,lightgbm,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,40,34,6,0.8189254023488689,0.8074620716582636,0.8279905625892783,0.8335344761027201,0.753075307530753,0.6560376372190277,0.701215253527029,0.7726650386794627,baseline_orig_json
latest_presentation_holdout,lightgbm,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.8164230137796812,0.8053880687801305,0.8253623180545742,0.8326456121061719,0.6982570806100218,0.6701515943544172,0.6839157108562284,0.7605533328242358,baseline_orig_json
latest_presentation_holdout,lightgbm,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.809428878193725,0.7988173170317031,0.8190017232377536,0.8358462995004234,0.8246683399067766,0.6011500261369577,0.6953892668178382,0.7676855861112553,drop_active_at_w4
latest_presentation_holdout,xgboost,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8087210578691454,0.7987355666245696,0.8180934015746014,0.8344362433323333,0.8332729249728162,0.6008886565603764,0.6982536066818527,0.7695053990361742,drop_active_at_w4
latest_presentation_holdout,lightgbm,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8086107006969411,0.7991638622563331,0.818308470250876,0.8352214595602829,0.8269230769230769,0.5956612650287506,0.6924946824673351,0.7657483080591695,drop_active_at_w4
latest_presentation_holdout,xgboost,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8084901904777285,0.7984571701548547,0.8181333158517299,0.8341842259628238,0.8341855368882396,0.5969681129116571,0.6959171237050579,0.7679486784628234,drop_active_at_w4
latest_presentation_holdout,xgboost,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.808132743083519,0.798101254199959,0.8174312320806139,0.8345739950139377,0.8254139668826493,0.5993204391008886,0.69442761962447,0.76703982676056,drop_active_at_w4
latest_presentation_holdout,lightgbm,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8078448181721625,0.798267383677658,0.8175289611033979,0.8344256781510364,0.8259608411892676,0.5953998954521693,0.6919805589307412,0.7654158476453744,drop_active_at_w4
latest_presentation_holdout,lightgbm,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8077874888803429,0.7971682528935892,0.8177731861756693,0.8342715249483836,0.8242271746944644,0.5993204391008886,0.6940072639225182,0.7667707925932208,drop_active_at_w4
latest_presentation_holdout,lightgbm,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.8072058268584895,0.7964106986374556,0.8166998246534171,0.8335474144944583,0.8240343347639485,0.6021955044432828,0.6958622772576261,0.7680065496389135,drop_active_at_w4
latest_presentation_holdout,xgboost,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8063508489608321,0.7958341982165165,0.8159434210636611,0.8327760332044136,0.8107167710508003,0.6089911134343963,0.6955223880597015,0.7679069099590599,drop_active_at_w4
latest_presentation_holdout,xgboost,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.8062757863780308,0.7959604184873438,0.8151674822459886,0.8316455412262868,0.8178280863105766,0.6042864610559331,0.6950248008417256,0.7675050814830379,drop_active_at_w4
latest_presentation_holdout,xgboost,F1,21333,11260,0.296723386302911,0.3397868561278863,21,15,6,0.8048930304787654,0.7944932445314208,0.8146589214382285,0.8319404345977657,0.7959866220735786,0.6220595922634605,0.6983568075117371,0.7700020856124943,drop_active_at_w4
latest_presentation_holdout,lightgbm,F1,21333,11260,0.296723386302911,0.3397868561278863,21,15,6,0.8026985807467341,0.792372274229366,0.8127783780120135,0.8303621617577425,0.7993848257006152,0.6113434396236278,0.6928317535545023,0.7661909557547786,drop_active_at_w4
latest_presentation_holdout,logreg,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.7839306505939951,0.7730246388981281,0.7969129485816814,0.8188866345147632,0.7426265135051227,0.6251960271824359,0.6788704413225486,0.7568406824101579,drop_active_at_w4
latest_presentation_holdout,logreg,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.7834925293870922,0.7724953809650118,0.7964269048614837,0.8190408404554257,0.7409825870646766,0.6228437009932044,0.6767963646691281,0.755395485148203,drop_active_at_w4
latest_presentation_holdout,logreg,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.7819046112922041,0.7707054594943016,0.7947364480276257,0.8203985277797818,0.7345241761626117,0.623366440146367,0.6743955888590414,0.7537063570115747,drop_active_at_w4
